,Restaurant_Name,longitude,lattitude,rad_longi,rad_latit,e_distance
0,Kalyan Bhel,73.81836,18.50301,1.288335433,0.32292892175000004,0.0005281458845184952
1,AV's Sandwich & Dabeli,73.81786,18.50257,1.2883267066111113,0.32292124252777776,0.0005166082658007037
2,Golden Dragon Chinese And Tandoor,73.81728,18.50256,1.2883165840000002,0.32292106800000003,0.0005081756207612913
3,WOW! China,73.82046,18.50373,1.2883720838333335,0.32294148775000003,0.0005655757033190818
4,Jayesh A1 Sandwiches,73.82054,18.50378,1.2883734800555555,0.3229423603888889,0.0005672217218435049
5,Beijing China,73.82062,18.50407,1.288374876277778,0.32294742169444446,0.0005711825967250268
6,Cafe Moonlight,73.82101,18.50369,1.2883816828611112,0.3229407896388889,0.0005732370639732547
7,Moonlight Cafe,73.82101,18.50369,1.2883816828611112,0.3229407896388889,0.0005732370639732547
8,Moon Light Real Chinese Tandoor Point,73.82095,18.50404,1.2883806356944445,0.3229468981111111,0.0005756935986932631
9,Bindaas Bawarchi,73.81593,18.50162,1.28829302275,0.32290466238888893,0.00047946541618221753
10,Berozgar Bawarchi,73.81593,18.50162,1.28829302275,0.32290466238888893,0.00047946541618221753
11,Fish O Fish,73.81569,18.50175,1.2882888340833334,0.32290693125000003,0.00047734754271853627
12,Sumitra Restaurant,73.82115,18.50416,1.28838412625,0.32294899244444447,0.0005797607091932716
13,Sumitra Pure Veg,73.82115,18.50416,1.28838412625,0.32294899244444447,0.0005797607091932716
14,Scossa,73.82157,18.50321,1.2883914564166667,0.3229324123055556,0.000577047270256015
15,Frozen Gelato,73.82163,18.50299,1.2883925035833335,0.32292857269444447,0.0005759419311025402
16,Sugran Swayampakghar,73.8161,18.50014,1.2882959897222224,0.32287883227777775,0.0004676783056483407
17,Brotarita,73.81665,18.50586,1.2883055887500001,0.32297866216666665,0.0005347971114901861
18,Mother's Kitchen,73.82177,18.50085,1.2883949469722222,0.32289122375,0.0005596764331860554
19,La Gustosa,73.81473,18.50209,1.2882720794166667,0.32291286519444445,0.0004673582118165007
20,The Oyster,73.81925,18.50652,1.288350965972222,0.322990181,0.0005771058332127196
21,Vasant Vihar Pure Veg,73.82212,18.50107,1.2884010554444445,0.3228950633611111,0.0005668707627202586
22,Bhagirathi Hotel,73.816,18.50577,1.2882942444444447,0.32297709141666664,0.0005252030346725002
23,Adiraj Restaurant,73.81586,18.50578,1.2882918010555557,0.3229772659444445,0.0005234861705216177
24,Aachari,73.8139,18.50049,1.2882575936111114,0.32288494074999996,0.0004391439700290442
25,Grill Zone,73.82207,18.49891,1.2884001828055556,0.3228573653611111,0.0005494795813907529
26,Arun Ice Creams,73.81324,18.50088,1.2882460747777777,0.3228917473333333,0.00043387830208565793
27,Malgudi Bites,73.81288,18.50215,1.288239791777778,0.3229139123611111,0.0004427411984299342
28,Malgudi Tiffin,73.81288,18.50215,1.288239791777778,0.3229139123611111,0.0004427411984299342
29,Pallavi Snacks Center,73.81284,18.50221,1.2882390936666668,0.3229149595277778,0.00044287767368630915
30,Charthankar Snacks Center,73.81284,18.50221,1.2882390936666668,0.3229149595277778,0.00044287767368630915
31,Mahavir Snacks Center,73.81284,18.50221,1.2882390936666668,0.3229149595277778,0.00044287767368630915
32,Soumya Snacks Centre,73.81284,18.50221,1.2882390936666668,0.3229149595277778,0.00044287767368630915
33,Rajyabhishek,73.81311,18.50545,1.2882438059166665,0.3229715065277778,0.00048451080085707993
34,Cake n Cafe,73.81405,18.49828,1.2882602115277777,0.3228463701111111,0.00042020508345851657
35,Dakshin Davangiri Dosa,73.81393,18.49831,1.2882581171944445,0.32284689369444447,0.0004186808260766897
36,Konkan Express,73.81396,18.49824,1.2882586407777779,0.32284567200000003,0.00041849897887340974
37,Vedas,73.82495,18.50254,1.2884504468055555,0.32292071894444446,0.0006225266874984903
38,Pawar Biryani House,73.81599,18.49662,1.2882940699166667,0.3228173985,0.00043639849836598363
39,Anand Restaurant and Bar,73.82302,18.50773,1.2884167629444445,0.3230112988611111,0.0006421800039424646
40,Nagpur's Kitchen,73.82501,18.50479,1.2884514939722225,0.32295998769444445,0.0006426851705433818
41,Eat Meet,73.82189,18.4966,1.2883970413055554,0.3228170494444445,0.0005311411347910192
42,Delicious Feast,73.82231,18.49684,1.2884043714722222,0.32282123811111113,0.0005394776699499204
43,Hotel Supushp,73.81829,18.50974,1.2883342113055558,0.3230463789444445,0.0006015154234636494
44,B Box,73.81637,18.5098,1.2883007019722224,0.3230474261111111,0.0005785354700940077
45,Dhadoom,73.82601,18.50331,1.2884689467500001,0.3229341575833333,0.0006451676559516138
46,Mejwani,73.81632,18.50998,1.2882998293333334,0.3230505676111111,0.0005802025761943341
47,Kaka Halwai,73.81622,18.50996,1.2882980840555556,0.32305021855555555,0.0005787473742279502
48,Pizza & Cream Cafe,73.81601,18.50992,1.2882944189722223,0.32304952044444446,0.0005757228042695351
49,Cafe Cream,73.81601,18.50992,1.2882944189722223,0.32304952044444446,0.0005757228042695351
50,Sai Cream Cafe,73.81601,18.50992,1.2882944189722223,0.32304952044444446,0.0005757228042695351
51,Out Of My Kitchen,73.82215,18.49587,1.2884015790277776,0.32280430891666667,0.0005310818622023187
52,Cook In My Kitchen,73.82215,18.49587,1.2884015790277776,0.32280430891666667,0.0005310818622023187
53,Annapurna,73.81076,18.50292,1.288202791888889,0.322927351,0.0004243035543091013
54,Darya restaurant,73.81492,18.50963,1.2882753954444446,0.3230444591388889,0.0005590948532890009
55,Green Food,73.81064,18.50157,1.2882006975555558,0.32290378975000006,0.0004066034659850728
56,Samudra,73.81587,18.51026,1.2882919755833333,0.3230554543888889,0.0005783984583329049
57,Zanbaq,73.81583,18.51027,1.2882912774722224,0.32305562891666667,0.0005780537581393235
58,Pooja Restaurant,73.81576,18.51026,1.2882900557777779,0.3230554543888889,0.0005770985230647806
59,Rajmudra,73.815,18.50997,1.2882767916666666,0.32305039308333333,0.0005644361359275256
60,Khana Junction,73.81606,18.5104,1.2882952916111112,0.3230578977777778,0.0005824433085005235
61,Yin Yang,73.8136,18.49616,1.2882523577777778,0.3228093702222222,0.0003954152421817619
62,Cafe Momos,73.81778,18.51085,1.288325310388889,0.32306575152777783,0.0006088210599849344
63,Burger Mines,73.81821,18.51091,1.2883328150833333,0.32306679869444443,0.0006148324541133766
64,Bourn Village,73.81722,18.51082,1.2883155368333337,0.3230652279444444,0.0006016524108056249
65,Palavi,73.81432,18.50979,1.2882649237777777,0.3230472515833333,0.0005542125392573948
66,Kolahapuri Tadaka,73.81573,18.51048,1.2882895321944445,0.32305929400000005,0.0005795807883458451
67,Adda,73.81858,18.51097,1.2883392726111111,0.32306784586111115,0.0006201356060669421
68,Apna Adda,73.81858,18.51097,1.2883392726111111,0.32306784586111115,0.0006201356060669421
69,Desi Adda,73.81858,18.51097,1.2883392726111111,0.32306784586111115,0.0006201356060669421
70,Food Adda,73.81858,18.51097,1.2883392726111111,0.32306784586111115,0.0006201356060669421
71,Sufra Restaurant & Cafe,73.81943,18.51102,1.2883541074722222,0.3230687185,0.0006313408900827971
72,Brego's Cafe | Eatery,73.81943,18.51102,1.2883541074722222,0.3230687185,0.0006313408900827971
73,String Theory By Panthi,73.82514,18.49743,1.2884537628333335,0.3228315352500001,0.0005893688321933807
74,Hotel Bharati,73.81228,18.5086,1.2882293201111112,0.32302648277777785,0.0005152988129851829
75,Wings House,73.81723,18.51119,1.2883157113611112,0.32307168547222226,0.0006064565296123456
76,Garma Garam - The Authentic Street Food,73.82679,18.50012,1.288482559916667,0.32287848322222223,0.0006333941038092705
77,Trupti Authentic Indian Veg,73.82679,18.50012,1.288482559916667,0.32287848322222223,0.0006333941038092705
78,Gujus Food Cafe,73.81569,18.51089,1.2882888340833334,0.3230664496388889,0.0005844320567895016
79,Nutri Food Cafe,73.81569,18.51089,1.2882888340833334,0.3230664496388889,0.0005844320567895016
80,Heaven Snacks Bar,73.81987,18.51134,1.2883617866944446,0.32307430338888893,0.000640746238609295
81,Shree Veg,73.81801,18.5115,1.2883293245277778,0.3230770958333334,0.000619760917473508
82,Celebration Point,73.80963,18.50218,1.28818307025,0.32291443594444447,0.00040120565359090277
83,Celebration,73.80963,18.50218,1.28818307025,0.32291443594444447,0.00040120565359090277
84,The Burger Barn Cafe,73.81548,18.51106,1.2882851690000001,0.32306941661111116,0.0005842255774247401
85,Ganesh Bhel & Farsan,73.81279,18.50967,1.2882382210277779,0.32304515725,0.0005353723148343595
86,Zaika Kathi Roll,73.81562,18.51124,1.288287612388889,0.32307255811111113,0.0005881984870259296
87,Vivo Tree,73.80945,18.50237,1.28817992875,0.3229177519722222,0.0004013620583806793
88,Hariom Veg-Non Veg,73.82692,18.50641,1.288484828777778,0.3229882611944444,0.0006858409847030266
89,Cafe Xtra Dose,73.82331,18.4948,1.2884218242500003,0.32278563444444447,0.0005446324079267005
90,Balaji Bhel And Farsan,73.81275,18.49529,1.2882375229166667,0.32279418630555556,0.0003753745619141888
91,Badshah Biryani,73.81168,18.50905,1.2882188484444443,0.32303433652777774,0.0005148069205780359
92,Krustys Bistro,73.81177,18.50917,1.2882204191944444,0.32303643086111117,0.0005174240307102318
93,S H Biryani,73.81643,18.49351,1.2883017491388888,0.32276312036111116,0.0004233127986603213
94,Biryani & Co.,73.81643,18.49351,1.2883017491388888,0.32276312036111116,0.0004233127986603213
95,91 Biryani,73.81643,18.49351,1.2883017491388888,0.32276312036111116,0.0004233127986603213
96,Avanti Restaurant,73.80905,18.50311,1.288172947638889,0.3229306670277778,0.0004059812482373421
97,Metro Midnight,73.80897,18.50193,1.288171551416667,0.32291007275000005,0.0003900162061975999
98,Midnight Cafe,73.80897,18.50193,1.288171551416667,0.32291007275000005,0.0003900162061975999
99,Midnight Joe's,73.80897,18.50193,1.288171551416667,0.32291007275000005,0.0003900162061975999
100,Shree Maha Durgeshwari,73.82307,18.49395,1.2884176355833334,0.3227707995833334,0.0005365448859792787
101,Nawabi Zaika,73.81444,18.49367,1.2882670181111113,0.3227659128055556,0.0003914461969503194
102,Nawabi Mehfil,73.81444,18.49367,1.2882670181111113,0.3227659128055556,0.0003914461969503194
103,Lunch Box,73.81575,18.51216,1.2882898812499999,0.3230886146666667,0.0006018324393203233
104,Shambhavi- Pure Veg,73.82152,18.49311,1.288390583777778,0.3227561392500001,0.0005066474054266523
105,Satwik Dining Hall,73.81838,18.49261,1.2883357820555557,0.3227474128611111,0.0004514249618506072
106,Spice Garden,73.81386,18.5116,1.2882568955000002,0.3230788411111112,0.0005733181980240433
107,Aashapura Pure Veg,73.8087,18.50494,1.2881668391666667,0.3229626056111111,0.0004262951636043925
108,Kumudini,73.82341,18.49373,1.2884235695277777,0.3227669599722222,0.0005412919308727194
109,China Hurt,73.80836,18.50367,1.2881609052222223,0.3229404405833334,0.00040540608912506266
110,China Hut,73.80836,18.50367,1.2881609052222223,0.3229404405833334,0.00040540608912506266
111,Happy Da Dhaba,73.81955,18.49232,1.2883562018055559,0.3227423515555556,0.0004699430303080707
112,Zaika Fast Food,73.81091,18.49551,1.2882054098055558,0.3227980259166667,0.0003485980802560419
113,Sahil,73.82017,18.49231,1.288367022527778,0.3227421770277778,0.00048041794459658207
114,Pratik Meal Box,73.80908,18.50805,1.2881734712222224,0.32301688375000004,0.00047363793879336846
115,Kekiz The Cake Shop,73.80916,18.50827,1.2881748674444446,0.32302072336111115,0.00047757972578489876
116,SK Meal Home,73.82046,18.51345,1.2883720838333335,0.32311112875,0.0006739679110286462
117,Ashok Modi Satari Kandi Pedhewale,73.82128,18.49203,1.2883863951111112,0.32273729025000003,0.0004982061336045219
118,MM Cake Shop,73.82557,18.49401,1.2884612675277778,0.32277184675,0.0005790223049271964
119,Lassi Wassi,73.81555,18.51358,1.2882863906944446,0.32311339761111113,0.0006187261785414958
120,Shivam Restaurant,73.81555,18.51358,1.2882863906944446,0.32311339761111113,0.0006187261785414958
121,Shiv Kamal Garden Restaurant,73.82133,18.49165,1.2883872677500001,0.32273065819444446,0.0004976788648974577
122,The Food Metro,73.80902,18.50905,1.2881724240555559,0.32303433652777774,0.00048740046622482917
123,Green Chilly Restaurant,73.81544,18.51372,1.2882844708888888,0.323115841,0.000619441840916969
124,Siily Chilly,73.81544,18.51372,1.2882844708888888,0.323115841,0.000619441840916969
125,Khamanga,73.81545,18.51376,1.2882846454166668,0.32311653911111116,0.0006200974891717584
126,We-Can End Cravings,73.81545,18.51377,1.2882846454166668,0.32311671363888894,0.0006202343503481692
